no;date;time;year;month;doy;dow;death;cvd;resp;temp;dptp;rhum;pm10;o3
47;16/02/1987;47;1987;2;47;Monday;107;54;6;-4.444444444;18.125;66.5;6.956073737;23.71801314
48;17/02/1987;48;1987;2;48;Tuesday;111;63;6;-0.277777778;20.25;63.125;15.95607374;24.46801314
49;18/02/1987;49;1987;2;49;Wednesday;116;61;4;-0.277777778;20;63.625;19.95607374;23.700803
50;19/02/1987;50;1987;2;50;Thursday;115;48;15;1.111111111;19.625;59.625;41.95607373;15.05315807
51;20/02/1987;51;1987;2;51;Friday;124;58;6;0.277777778;17;41.5;67.48931288;7.759679811
52;21/02/1987;52;1987;2;52;Saturday;119;65;6;3.333333333;24.5;50.75;51.95607373;3.113846481
53;22/02/1987;53;1987;2;53;Sunday;126;66;12;1.944444444;25.125;67.375;38.95607373;10.17634648
54;23/02/1987;54;1987;2;54;Monday;147;74;11;1.944444444;24.75;64.625;39.95607373;12.61384648
55;24/02/1987;55;1987;2;55;Tuesday;118;58;12;-0.277777778;25.25;69.625;40.95607373;12.42634648
56;25/02/1987;56;1987;2;56;Wednesday;138;74;7;1.388888889;21.875;52.875;40.95607373;16.71801314
57;26/02/1987;57;1987;2;57;Thursday;119;61;10;2.222222222;18.5;45;27.20442696;15.61384648
58;27/02/1987;58;1987;2;58;Friday;100;53;9;4.166666667;28.25;57.125;48.95607373;13.90551314
59;28/02/1987;59;1987;2;59;Saturday;119;65;7;4.444444444;38.375;94.5;23.95607374;6.551346481
60;01/03/1987;60;1987;3;60;Sunday;123;58;14;3.888888889;28.375;77.375;7.956073737;14.90134648
61;02/03/1987;61;1987;3;61;Monday;125;64;6;5;27.875;55.375;28.95607373;20.34301314
62;03/03/1987;62;1987;3;62;Tuesday;124;56;7;2.5;14.875;42.5;24.95607373;19.25967981
63;04/03/1987;63;1987;3;63;Wednesday;113;51;8;3.333333333;26.75;46.125;38.49162794;5.113846481
64;05/03/1987;64;1987;3;64;Thursday;125;66;9;6.666666667;34.375;71.875;22.95607374;13.32217981
65;06/03/1987;65;1987;3;65;Friday;108;44;8;9.166666667;39.5;59.375;68.95607373;8.775078361
66;07/03/1987;66;1987;3;66;Saturday;114;60;8;15.27777778;36.875;44.5;41.95607373;25.11384648
67;08/03/1987;67;1987;3;67;Sunday;109;59;6;12.5;33.625;62.625;53.95607373;30.98884648
68;09/03/1987;68;1987;3;68;Monday;126;57;7;-0.555555556;14;59.625;17.95607374;29.36384648
69;10/03/1987;69;1987;3;69;Tuesday;113;59;5;-3.611111111;13.625;57.25;17.54051725;27.90551314
70;11/03/1987;70;1987;3;70;Wednesday;112;62;9;-1.944444444;17;63.625;30.95607373;19.30134648
71;12/03/1987;71;1987;3;71;Thursday;125;64;5;0.833333333;22.375;55.75;64.95607373;19.98884648
72;13/03/1987;72;1987;3;72;Friday;128;72;9;1.111111111;33.125;88.75;39.95607373;22.00967981
73;14/03/1987;73;1987;3;73;Saturday;106;50;7;2.777777778;33;97.125;41.95607373;17.48884648
74;15/03/1987;74;1987;3;74;Sunday;113;52;10;1.666666667;24.5;60.75;NA;36.42634648
75;16/03/1987;75;1987;3;75;Monday;117;68;6;3.055555556;17.875;41.875;24.88120038;35.90279575
76;17/03/1987;76;1987;3;76;Tuesday;127;65;11;3.611111111;19.375;39.5;47.95607373;27.34301314
77;18/03/1987;77;1987;3;77;Wednesday;120;62;13;4.166666667;30.25;66.625;55.95607373;19.83955635
78;19/03/1987;78;1987;3;78;Thursday;121;56;10;5.277777778;26.125;59.375;24.95607373;31.20610838
79;20/03/1987;79;1987;3;79;Friday;127;64;5;6.111111111;16.625;40.125;20.95607374;34.51313661
80;21/03/1987;80;1987;3;80;Saturday;120;46;13;6.388888889;22.5;37;32.95607373;36.09646994
81;22/03/1987;81;1987;3;81;Sunday;100;53;6;8.888888889;32.375;53.375;35.83169065;35.55480327
82;23/03/1987;82;1987;3;82;Monday;125;63;6;11.94444444;35.25;41.625;62.95607373;30.98467981
83;24/03/1987;83;1987;3;83;Tuesday;132;73;5;14.16666667;46.125;75;50.95607373;25.15551314
84;25/03/1987;84;1987;3;84;Wednesday;134;67;9;7.222222222;40.125;90.125;6.956073737;14.40551314
85;26/03/1987;85;1987;3;85;Thursday;107;63;6;7.222222222;40.25;86.625;35.95607373;14.64793739
86;27/03/1987;86;1987;3;86;Friday;102;57;6;6.111111111;38.5;78.875;39.95607373;16.15551314
87;28/03/1987;87;1987;3;87;Saturday;128;68;2;7.777777778;35;76.75;31.62733762;19.80134648
88;29/03/1987;88;1987;3;88;Sunday;101;43;5;4.166666667;30.125;89.75;29.95607373;20.50273537
89;30/03/1987;89;1987;3;89;Monday;125;66;13;-1.666666667;12.875;52.75;19.95607374;29.96801314
90;31/03/1987;90;1987;3;90;Tuesday;106;53;3;-1.111111111;19;49.625;35.95607373;24.24875352
91;01/04/1987;91;1987;4;91;Wednesday;119;57;7;5.277777778;22.875;58.125;28.95607373;21.60609615
92;02/04/1987;92;1987;4;92;Thursday;91;48;9;-1.388888889;14.625;54.5;36.95607373;22.45803468
93;03/04/1987;93;1987;4;93;Friday;120;53;9;-2.222222222;17.375;58;19.00942282;17.11088442
94;04/04/1987;94;1987;4;94;Saturday;123;54;7;1.944444444;17.125;37.875;18.95607374;28.73730488
95;05/04/1987;95;1987;4;95;Sunday;108;58;5;6.388888889;33;63.625;10.95607374;36.24641725
96;06/04/1987;96;1987;4;96;Monday;117;56;10;10;21.25;30.375;11.95607374;32.11500563
97;07/04/1987;97;1987;4;97;Tuesday;134;53;15;9.722222222;30.875;53.25;20.95607374;26.14949299
98;08/04/1987;98;1987;4;98;Wednesday;120;61;6;4.444444444;31.375;74.25;11.95607374;21.92480488
99;09/04/1987;99;1987;4;99;Thursday;120;55;8;10;28.5;31.25;76.34865035;16.05023076
100;10/04/1987;100;1987;4;100;Friday;110;54;7;15.27777778;44.875;76.25;61.95607373;22.44458927
101;11/04/1987;101;1987;4;101;Saturday;111;48;8;10.55555556;45.625;95;16.95607374;29.47506186
102;12/04/1987;102;1987;4;102;Sunday;129;60;19;9.722222222;43.125;78.625;29.95607373;26.38083127
103;13/04/1987;103;1987;4;103;Monday;93;53;8;8.888888889;47.25;76;39.95607373;18.5233411
104;14/04/1987;104;1987;4;104;Tuesday;140;79;7;11.38888889;51.5;96;25.95607373;14.07096014
105;15/04/1987;105;1987;4;105;Wednesday;106;54;11;10.83333333;50.125;96.875;29.39515317;17.81535508
106;16/04/1987;106;1987;4;106;Thursday;110;51;7;12.22222222;49.25;85.75;19.25775155;22.80345032
107;17/04/1987;107;1987;4;107;Friday;115;64;13;14.16666667;47;62.75;35.95607373;19.91059317
108;18/04/1987;108;1987;4;108;Saturday;106;57;7;16.38888889;49.875;53;98.95607373;31.72910045
109;19/04/1987;109;1987;4;109;Sunday;105;47;9;17.77777778;53;57;NA;32.95529092
110;20/04/1987;110;1987;4;110;Monday;120;57;9;21.66666667;55.75;45.625;47.95607373;41.77172644
111;21/04/1987;111;1987;4;111;Tuesday;97;44;10;13.33333333;39;83.375;34.51464215;20.98282632
112;22/04/1987;112;1987;4;112;Wednesday;136;73;7;8.333333333;45.625;100;20.95607374;9.602617991
113;23/04/1987;113;1987;4;113;Thursday;112;58;4;11.11111111;43.75;86.875;18.95607374;10.59129552
114;24/04/1987;114;1987;4;114;Friday;108;43;10;9.444444444;30.75;51.875;8.956073737;28.22240966
115;25/04/1987;115;1987;4;115;Saturday;130;61;7;10.55555556;32.5;43.5;22.95607374;27.46166438
116;26/04/1987;116;1987;4;116;Sunday;102;48;6;13.88888889;33.875;38.75;50.95607373;32.79794735
117;27/04/1987;117;1987;4;117;Monday;107;57;7;13.61111111;31.625;42.875;34.1289016;36.26845265
118;28/04/1987;118;1987;4;118;Tuesday;118;61;4;11.94444444;28.625;28.875;64.95607373;22.73374835
119;29/04/1987;119;1987;4;119;Wednesday;110;51;9;18.05555556;34.625;47.5;53.95607373;34.78165042
120;30/04/1987;120;1987;4;120;Thursday;101;52;6;7.777777778;16.625;31.25;11.95607374;35.52344405
121;01/05/1987;121;1987;5;121;Friday;117;56;5;11.94444444;39;54.5;58.95607373;20.30041958
122;02/05/1987;122;1987;5;122;Saturday;123;61;11;11.66666667;47.375;87.25;22.95607374;25.38294787
123;03/05/1987;123;1987;5;123;Sunday;110;56;6;7.222222222;35;71.5;18.00766293;27.89070321
124;04/05/1987;124;1987;5;124;Monday;108;60;7;8.888888889;29.375;47.75;18.95607374;31.28946969
125;05/05/1987;125;1987;5;125;Tuesday;134;67;11;10.27777778;32.625;53.625;52.95607373;23.42448572
126;06/05/1987;126;1987;5;126;Wednesday;131;64;9;14.44444444;40.125;39.625;NA;32.00670208
127;07/05/1987;127;1987;5;127;Thursday;126;67;9;15.27777778;40.875;51.25;33.95607373;30.25985709
128;08/05/1987;128;1987;5;128;Friday;108;43;7;15;33.375;32.25;46.95607373;17.32413047
129;09/05/1987;129;1987;5;129;Saturday;112;56;6;20.83333333;43.75;31.875;55.14429347;43.69163317
130;10/05/1987;130;1987;5;130;Sunday;116;57;8;23.61111111;51.5;41.375;NA;44.11500292
131;11/05/1987;131;1987;5;131;Monday;131;59;16;21.66666667;58;72.75;73.95607373;45.41727143
132;12/05/1987;132;1987;5;132;Tuesday;123;63;2;10.83333333;32.75;54.25;4.956073737;25.87761071
133;13/05/1987;133;1987;5;133;Wednesday;104;57;7;15;53;57.125;12.95607374;27.11950362
134;14/05/1987;134;1987;5;134;Thursday;123;65;13;20.55555556;53.375;59.25;NA;39.65447488
135;15/05/1987;135;1987;5;135;Friday;105;42;9;13.61111111;33.875;44.375;19.47401478;24.66411413
136;16/05/1987;136;1987;5;136;Saturday;108;43;11;16.94444444;42.625;35.125;39.95607373;32.39654718
137;17/05/1987;137;1987;5;137;Sunday;123;53;8;21.38888889;63.625;66;55.95607373;51.02073014
138;18/05/1987;138;1987;5;138;Monday;134;62;12;19.16666667;57.625;94.5;NA;25.66828828
139;19/05/1987;139;1987;5;139;Tuesday;101;48;12;19.72222222;61.125;85.625;34.95607373;26.90745107
140;20/05/1987;140;1987;5;140;Wednesday;114;55;7;19.16666667;59.75;88.125;39.95607373;15.88621558
141;21/05/1987;141;1987;5;141;Thursday;125;59;4;23.33333333;66.75;61;42.54821942;33.93743841
142;22/05/1987;142;1987;5;142;Friday;111;52;8;16.38888889;49.75;76.25;NA;12.56112861
143;23/05/1987;143;1987;5;143;Saturday;107;54;3;10.55555556;45.625;86.875;5.956073737;11.1120308
144;24/05/1987;144;1987;5;144;Sunday;105;58;7;10.27777778;45.125;81;NA;19.76334654
145;25/05/1987;145;1987;5;145;Monday;115;52;17;14.16666667;62.875;95.375;42.95607373;13.55946323
146;26/05/1987;146;1987;5;146;Tuesday;106;52;6;22.77777778;67.625;68.625;20.95607374;30.11478894
147;27/05/1987;147;1987;5;147;Wednesday;113;57;12;25.83333333;67.375;68.625;39.61521919;31.34718321
148;28/05/1987;148;1987;5;148;Thursday;104;44;8;25.83333333;65.75;67.625;41.95607373;29.70668996
149;29/05/1987;149;1987;5;149;Friday;106;54;7;25.83333333;67.125;71.125;42.95607373;26.89926655
150;30/05/1987;150;1987;5;150;Saturday;115;62;10;24.44444444;65.625;79.5;27.95607373;22.5182808
151;31/05/1987;151;1987;5;151;Sunday;102;54;4;24.44444444;60.125;57.75;24.95607373;32.18717961
152;01/06/1987;152;1987;6;152;Monday;112;60;5;23.61111111;68.5;71.875;22.95607374;34.94622833
153;02/06/1987;153;1987;6;153;Tuesday;111;57;7;22.22222222;64.75;95.25;31.31339216;18.96619746
154;03/06/1987;154;1987;6;154;Wednesday;120;59;9;20.55555556;47.25;47.125;34.95607373;23.59269572
155;04/06/1987;155;1987;6;155;Thursday;103;50;14;17.22222222;45;49.125;37.95607373;21.05210408
156;05/06/1987;156;1987;6;156;Friday;98;43;8;21.11111111;54.875;61.625;53.95607373;33.2273013
157;06/06/1987;157;1987;6;157;Saturday;101;46;8;21.66666667;54.625;48.5;49.95607373;43.91077385
158;07/06/1987;158;1987;6;158;Sunday;102;45;8;25.27777778;58.125;45.75;38.95607373;51.02014885
159;08/06/1987;159;1987;6;159;Monday;143;74;8;23.61111111;60.25;76.75;47.38155276;49.45629016
160;09/06/1987;160;1987;6;160;Tuesday;88;30;7;14.16666667;41.125;56.5;7.956073737;30.25026292
161;10/06/1987;161;1987;6;161;Wednesday;106;57;3;16.11111111;51;55.125;42.95607373;29.32521763
162;11/06/1987;162;1987;6;162;Thursday;96;45;3;22.5;68.75;90.375;38.95607373;28.39439128
163;12/06/1987;163;1987;6;163;Friday;117;58;13;26.66666667;62;54.125;33.95607373;29.43717511
164;13/06/1987;164;1987;6;164;Saturday;97;49;6;25;62;50.25;65.95607373;40.17969405
165;14/06/1987;165;1987;6;165;Sunday;146;63;11;28.33333333;68.5;54.125;40.56523337;46.01407632
166;15/06/1987;166;1987;6;166;Monday;120;56;14;23.05555556;48.5;44.625;20.95607374;33.78227557
167;16/06/1987;167;1987;6;167;Tuesday;109;49;6;23.88888889;52.875;47.5;38.95607373;33.27170794
168;17/06/1987;168;1987;6;168;Wednesday;112;59;11;25;61;48;63.95607373;55.10332044
169;18/06/1987;169;1987;6;169;Thursday;132;69;12;26.94444444;62.75;47.5;82.95607373;63.56613137
170;19/06/1987;170;1987;6;170;Friday;106;55;4;25.27777778;61.375;48.625;72.95607373;47.98001498
171;20/06/1987;171;1987;6;171;Saturday;122;51;8;25;73.625;99.625;57.23190003;46.48440391
172;21/06/1987;172;1987;6;172;Sunday;112;51;6;24.44444444;71.125;82.625;34.95607373;33.50499931
173;22/06/1987;173;1987;6;173;Monday;117;58;3;19.44444444;59;72.25;44.95607373;25.70344119
174;23/06/1987;174;1987;6;174;Tuesday;100;45;7;22.5;57.75;56.625;41.95607373;33.02403966
175;24/06/1987;175;1987;6;175;Wednesday;108;48;11;24.44444444;65.75;60;55.95607373;49.90836224
176;25/06/1987;176;1987;6;176;Thursday;126;62;7;21.38888889;62;76.25;45.95607373;33.89353487
177;26/06/1987;177;1987;6;177;Friday;105;49;5;20.55555556;50.75;51.375;27.59626623;20.92046074
178;27/06/1987;178;1987;6;178;Saturday;111;55;7;18.05555556;48.25;54.375;28.95607373;22.13921074
179;28/06/1987;179;1987;6;179;Sunday;122;51;5;22.22222222;53.625;44.625;26.95607373;31.97581037
180;29/06/1987;180;1987;6;180;Monday;108;53;6;22.5;66;84.375;35.95607373;28.09861295
181;30/06/1987;181;1987;6;181;Tuesday;106;47;11;21.38888889;63;81.875;35.95607373;19.29690391
182;01/07/1987;182;1987;7;182;Wednesday;104;54;6;20.27777778;60.625;74.25;14.95607374;33.51334654
183;02/07/1987;183;1987;7;183;Thursday;120;59;10;21.66666667;60.25;57.625;41.69230809;37.01944179
184;03/07/1987;184;1987;7;184;Friday;112;47;6;25.27777778;60.375;61.25;40.95607373;43.37313017
185;04/07/1987;185;1987;7;185;Saturday;101;45;4;22.5;59.5;65.25;16.95607374;32.69098028
186;05/07/1987;186;1987;7;186;Sunday;114;58;3;22.5;69.125;91.625;NA;23.43575991
187;06/07/1987;187;1987;7;187;Monday;113;57;8;26.66666667;69;64;25.93102111;32.1036933
188;07/07/1987;188;1987;7;188;Tuesday;119;58;7;26.66666667;69.125;64.75;NA;34.61193817
189;08/07/1987;189;1987;7;189;Wednesday;126;61;7;26.94444444;69.25;59.625;36.12167688;31.73807067
190;09/07/1987;190;1987;7;190;Thursday;108;47;7;26.94444444;67.625;80.375;23.8033517;25.69862079
191;10/07/1987;191;1987;7;191;Friday;95;50;6;26.66666667;67.625;87;25.65051258;23.92142314
192;11/07/1987;192;1987;7;192;Saturday;125;59;10;26.66666667;73.5;65.125;71.58846396;29.36938453
193;12/07/1987;193;1987;7;193;Sunday;119;61;9;26.38888889;65.5;67.25;39.59476192;29.9944056
194;13/07/1987;194;1987;7;194;Monday;77;33;3;18.05555556;58.75;79.5;25.54381554;10.50767907
195;14/07/1987;195;1987;7;195;Tuesday;113;64;4;19.44444444;53;58.375;19.94675805;22.41748711
196;15/07/1987;196;1987;7;196;Wednesday;110;53;6;17.22222222;54.375;77.5;9.498862864;23.39991503
197;16/07/1987;197;1987;7;197;Thursday;108;53;12;18.61111111;58.625;60.375;19.21134724;32.72556009
198;17/07/1987;198;1987;7;198;Friday;102;46;5;25.55555556;67;59;31.53157813;42.94689718
199;18/07/1987;199;1987;7;199;Saturday;110;52;8;26.38888889;68.375;61.375;43.52850454;48.12003263
200;19/07/1987;200;1987;7;200;Sunday;129;60;7;29.16666667;73.625;64;64.57601114;47.34667826
201;20/07/1987;201;1987;7;201;Monday;140;67;7;27.5;67.625;75.625;63.23613183;41.34875155
202;21/07/1987;202;1987;7;202;Tuesday;105;57;7;27.22222222;71.25;68.75;50.54648561;58.98016147
203;22/07/1987;203;1987;7;203;Wednesday;110;59;8;26.94444444;69.625;63.125;90.55914237;45.53731603
204;23/07/1987;204;1987;7;204;Thursday;121;57;12;27.77777778;70;61.25;109.5497102;59.10817976
205;24/07/1987;205;1987;7;205;Friday;110;65;8;28.33333333;71.25;64.75;73.19574124;35.64819283
206;25/07/1987;206;1987;7;206;Saturday;115;65;9;29.16666667;71.125;66.5;45.67363784;43.61858692
207;26/07/1987;207;1987;7;207;Sunday;105;60;3;25.83333333;66.25;82.125;28.61509942;27.7709553
208;27/07/1987;208;1987;7;208;Monday;112;56;10;21.66666667;62.625;68.125;24.73232135;15.6824636
209;28/07/1987;209;1987;7;209;Tuesday;109;63;3;22.5;63.25;65.125;31.30575702;20.26422922
210;29/07/1987;210;1987;7;210;Wednesday;125;56;13;25.55555556;70.25;80;17.76402906;24.90261432
211;30/07/1987;211;1987;7;211;Thursday;92;50;5;26.38888889;72.375;74.375;67.84088432;50.62855334
212;31/07/1987;212;1987;7;212;Friday;110;44;7;26.94444444;75.75;80.5;40.83490947;38.6657006
213;01/08/1987;213;1987;8;213;Saturday;113;41;10;30.55555556;75.25;64;55.31193451;39.70136722
214;02/08/1987;214;1987;8;214;Sunday;115;57;10;30;73.875;73.5;38.92453212;46.91121213
215;03/08/1987;215;1987;8;215;Monday;137;65;11;28.33333333;68.625;64.875;47.00923816;30.53911582
216;04/08/1987;216;1987;8;216;Tuesday;112;52;12;23.88888889;60.625;69.25;14.0213487;21.71735149
217;05/08/1987;217;1987;8;217;Wednesday;126;56;13;22.22222222;55.75;59.625;8.107946783;21.01236472
218;06/08/1987;218;1987;8;218;Thursday;111;54;5;22.22222222;62.125;58;43.07518816;29.83245219
219;07/08/1987;219;1987;8;219;Friday;95;37;7;26.38888889;67.375;66.625;49.09647603;45.49522503
220;08/08/1987;220;1987;8;220;Saturday;113;59;2;23.05555556;73.625;96.25;49.24493738;23.71531139
221;09/08/1987;221;1987;8;221;Sunday;107;59;4;22.5;64.125;78;22.28067405;26.68433652
222;10/08/1987;222;1987;8;222;Monday;96;46;5;21.66666667;63.125;75.25;17.33985802;30.24611572
223;11/08/1987;223;1987;8;223;Tuesday;98;44;8;23.61111111;61.875;65.125;34.34622902;34.15302061
224;12/08/1987;224;1987;8;224;Wednesday;83;36;7;24.44444444;63.625;66;73.34622902;37.31319415
225;13/08/1987;225;1987;8;225;Thursday;121;56;4;24.16666667;69.5;78.375;63.01544113;36.24813738
226;14/08/1987;226;1987;8;226;Friday;107;50;8;23.33333333;74.625;82.375;44.24589798;24.4733949
227;15/08/1987;227;1987;8;227;Saturday;115;47;10;26.38888889;75.875;76.75;34.61935402;33.27518069
228;16/08/1987;228;1987;8;228;Sunday;125;63;11;26.66666667;73.875;80.375;36.26105974;32.17367474
229;17/08/1987;229;1987;8;229;Monday;120;59;9;23.05555556;60.25;65.75;32.51284897;26.40397247
230;18/08/1987;230;1987;8;230;Tuesday;102;42;4;20.83333333;64.25;79.125;41.45310055;14.2616524
231;19/08/1987;231;1987;8;231;Wednesday;102;49;5;21.11111111;56.75;64;28.96710116;19.18811954
232;20/08/1987;232;1987;8;232;Thursday;118;51;8;21.11111111;62.625;57;42.23800621;31.05781835
233;21/08/1987;233;1987;8;233;Friday;118;51;8;24.44444444;72.5;70.75;36.15435841;37.89360553
234;22/08/1987;234;1987;8;234;Saturday;107;52;8;21.94444444;54.625;70.75;25.1567182;24.09173472
235;23/08/1987;235;1987;8;235;Sunday;107;54;8;17.22222222;49;61.75;17.24818186;17.88277719
236;24/08/1987;236;1987;8;236;Monday;133;56;11;16.38888889;51.375;65.75;36.31689255;12.60469362
237;25/08/1987;237;1987;8;237;Tuesday;107;53;10;15;58;98.75;34.52592143;7.176509542
238;26/08/1987;238;1987;8;238;Wednesday;96;45;6;16.66666667;63.25;97;43.28104349;8.605950462
239;27/08/1987;239;1987;8;239;Thursday;103;48;6;17.5;61.375;95.375;13.30214392;14.40921368
240;28/08/1987;240;1987;8;240;Friday;117;56;10;17.5;54.625;82.125;25.31451719;22.5080781
241;29/08/1987;241;1987;8;241;Saturday;100;53;10;18.61111111;57;67.625;NA;18.54661832
242;30/08/1987;242;1987;8;242;Sunday;125;55;13;22.22222222;59.625;74.375;28.28416;23.07906684
243;31/08/1987;243;1987;8;243;Monday;113;61;10;16.66666667;46.5;58.625;23.3425923;16.01636596
244;01/09/1987;244;1987;9;244;Tuesday;112;60;12;17.77777778;49.5;48.5;30.42171112;18.2072972
245;02/09/1987;245;1987;9;245;Wednesday;107;52;13;16.38888889;50.125;70.375;10.25718839;22.1901332
246;03/09/1987;246;1987;9;246;Thursday;122;58;6;15.83333333;49.25;62.875;17.27851518;20.92405997
247;04/09/1987;247;1987;9;247;Friday;115;54;8;20.55555556;59.125;61.875;NA;32.05220547
248;05/09/1987;248;1987;9;248;Saturday;104;53;7;22.77777778;57.375;57.25;NA;46.20807939
249;06/09/1987;249;1987;9;249;Sunday;118;59;4;23.88888889;66.25;77.25;61.07543339;38.29984745
250;07/09/1987;250;1987;9;250;Monday;137;62;9;21.38888889;65.625;88.875;NA;23.27604398
251;08/09/1987;251;1987;9;251;Tuesday;117;50;8;22.22222222;63.5;78.375;NA;25.80443156
252;09/09/1987;252;1987;9;252;Wednesday;104;50;8;20.27777778;56.125;68.625;NA;19.16310191
253;10/09/1987;253;1987;9;253;Thursday;105;51;7;19.72222222;57.75;67.375;NA;26.95985523
254;11/09/1987;254;1987;9;254;Friday;109;48;8;20.55555556;57;61.375;NA;22.81678967
255;12/09/1987;255;1987;9;255;Saturday;121;48;15;20;50.375;64.25;28.40050736;15.58861996
256;13/09/1987;256;1987;9;256;Sunday;108;51;9;15;53.25;71.125;NA;12.12422966
257;14/09/1987;257;1987;9;257;Monday;114;61;5;16.38888889;58;70.625;NA;19.05391332
